name,id,smc section,rhb section,f section,height m,height f,map 50,map 25,gref,gref2,x,y,air_closest,air_closest_x,air_closest_y,air_closest_pass_scotland,air_closest_pass_AF,air_closest_pass_AS,air_closest_pass_CA,air_closest_pass_EU,air_closest_pass_NA,air_closest_pass_OC,air_closest_pass_SA,air_closest_total,road_closest,road_closest_type,road_closest_numbers_2019_daily_av,road_closest_distance_m,road_closest_angle,road_closest_x,road_closest_y,station_closest_name,station_closest_line,station_closest_x,station_closest_y,station_closest_route_max_4_weeks,station_closest_route_commuter,station_closest_route_off peak,station_closest_route_peak,station_closest_route_total,station_closest_route_percent off peak
Beinn Chabhair,11,1,01C,1.3,932.1,3058,50 56,OL39N 364N,NN367179,NN3676017957,236760,717957,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,5125.678492,205.8619553,232147.6704,715721.1566,Ardlui,WHL,231697.7466,715503.0544,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Dearg,114,6,06A,6.1,1008.7,3309,43,OL51E 394E,NN852778,NN8529677800,285296,777800,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,B8079,B Road,,12153.78804,277.970435,286981.2698,765763.6206,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
Beinn Dearg,114,6,06A,6.1,1008.7,3309,43,OL51E 394E,NN852778,NN8529677800,285296,777800,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B8079,B Road,,12153.78804,277.970435,286981.2698,765763.6206,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Dearg,261,15,15A,15.1,1084,3556,20,436N,NH259811,NH2593381183,225933,881183,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A835,A Road,2414.327381,19167.02186,288.5603145,232033.9161,863012.8721,Lochluichart,KYL,232193.0675,862538.8775,2019/P08,31868,200738,112875,131,0.576131615
Beinn Dearg,261,15,15A,15.1,1084,3556,20,436N,NH259811,NH2593381183,225933,881183,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A835,A Road,2414.327381,19167.02186,288.5603145,232033.9161,863012.8721,Lochluichart,KYL,232193.0675,862538.8775,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Dorain,28,2,02A,2.1,1076,3530,50,377E,NN325378,NN3255437855,232554,737855,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,7228.461789,271.642393,232761.1767,730629.5078,Tyndrum Lower,OBN2,232775.5073,730129.7132,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Dubhchraig,14,1,01D,1.4,978,3209,50,OL39N 364N 377E,NN307254,NN3076325493,230763,725493,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,4554.631038,66.53734957,232576.4317,729671.0533,Tyndrum Lower,OBN2,232775.5073,730129.7132,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Eibhinn,98,4,04B,4.2,1103.2,3619,42,OL50 393,NN449733,NN4496573302,244965,773302,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,11117.37362,216.5699025,236036.2975,766678.2346,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Eighe - Ruadh-stac Mor,236,13,13A,13.1,1010,3314,19,433,NG951611,NG9514261152,195142,861152,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A896,A Road,667.1587302,13214.3796,292.0974431,200113.0238,848908.2771,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Eighe - Spidean Coire nan Clach,237,13,13A,13.1,993,3258,25,433,NG966597,NG9661559780,196615,859780,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A896,A Road,667.1587302,11419.29408,288.0144099,200146.4872,848920.4938,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
