name,id,smc section,rhb section,f section,height m,height f,map 50,map 25,gref,gref2,x,y,air_closest,air_closest_x,air_closest_y,air_closest_pass_scotland,air_closest_pass_AF,air_closest_pass_AS,air_closest_pass_CA,air_closest_pass_EU,air_closest_pass_NA,air_closest_pass_OC,air_closest_pass_SA,air_closest_total,road_closest,road_closest_type,road_closest_numbers_2019_daily_av,road_closest_distance_m,road_closest_angle,road_closest_x,road_closest_y,station_closest_name,station_closest_line,station_closest_x,station_closest_y,station_closest_route_max_4_weeks,station_closest_route_commuter,station_closest_route_off peak,station_closest_route_peak,station_closest_route_total,station_closest_route_percent off peak
Ben Wyvis - Glas Leathad Mor,265,15,15B,15.2,1046,3432,20,437S,NH462683,NH4629668379,246296,868379,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A835,A Road,2414.327381,9317.758753,226.2629601,239854.1708,861646.7296,Garve,KYL,239508.496,861285.4694,2019/P08,31868,200738,112875,4085,0.576131615
Bidean nam Bian,53,3,03B,3.2,1149.4,3771,41,384,NN143542,NN1434154211,214341,754211,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,19832.64785,100.7516159,210641.185,773695.4884,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,9093,0.576131615
Bidein a' Choire Sheasgaich,226,12,12A,12.1,945,3100,25,429,NH049412,NH0490641265,204906,841265,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A890,A Road,714.9047619,8029.79638,122.6740198,200571.0446,848024.1266,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
Binnein Beag,84,4,04A,4.1,943,3094,41,392,NN221677,NN2217267712,222172,767712,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B863,B Road,777.2,12805.68945,150.8818456,210984.7181,773943.4049,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,4085,0.576131615
Binnein Mor,85,4,04A,4.1,1130,3707,41,392,NN212663,NN2121966351,221219,766351,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B863,B Road,777.2,12738.97835,143.7104098,210950.927,773890.7776,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,4085,0.576131615
Bla Bheinn [Blaven] [Blabheinn],281,17,17B,17.2,929,3048,32,411,NG529217,NG5299021743,152990,821743,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B8083,B Road,435.625,23363.65721,12.93244414,175761.0292,826971.8343,Kyle Of Lochalsh,KYL,176248.3465,827083.7353,2019/P08,31868,200738,112875,4085,0.576131615
Braeriach,145,8,08A,8,1296,4252,36 43,OL57S 403S,NN953999,NN9532799915,295327,799915,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B970,B Road,744.9473684,13377.59217,114.3672437,289807.6233,812100.9121,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Broad Cairn,139,7,07A,7,998,3274,44,OL53N 388N,NO240815,NO2405781568,324057,781568,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,37725.41884,217.9613552,294313.3055,758361.9692,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Bruach na Frithe,272,17,17B,17.2,958,3143,32,411,NG460252,NG4608425200,146084,825200,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A863,A Road,778.3428571,29723.10802,3.573427483,175749.3186,827052.5715,Kyle Of Lochalsh,KYL,176248.3465,827083.7353,2019/P08,31868,200738,112875,4085,0.576131615
Buachaille Etive Beag - Stob Coire Raineach,52,3,03B,3.2,925,3035,41,384,NN191548,NN1913554800,219135,754800,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,19658.00777,35.06308826,235225.4722,766093.0941,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,9093,0.576131615
Buachaille Etive Beag - Stob Dubh,51,3,03B,3.2,958,3143,41,384,NN179535,NN1790953541,217909,753541,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,21387.21217,35.91705501,235229.7987,766087.0264,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,9093,0.576131615
Buachaille Etive Mor - Stob Dearg,49,3,03B,3.2,1021.4,3351,41,384,NN222542,NN2226554254,222265,754254,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,17549.86686,42.20799577,235264.3768,766044.4211,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,9093,0.576131615
Buachaille Etive Mor - Stob na Broige,50,3,03B,3.2,953.4,3128,41,384,NN190525,NN1907252568,219072,752568,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,21066.28488,39.82609549,235250.7362,766060.1033,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,9093,0.576131615
Bynack More,154,8,08A,8,1090,3576,36,OL57N OL57S OL58N OL58S 403N 403S 404N 404S,NJ041063,NJ0419006373,304190,806373,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B970,B Road,744.9473684,15344.97837,157.0304581,290061.6876,812361.251,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Cairn Bannoch,138,7,07A,7,1012,3320,44,OL53N 388N,NO222825,NO2228882555,322288,782555,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,36984.31801,220.8152871,294297.5029,758381.2156,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Cairn Gorm,153,8,08A,8,1244.8,4084,36,OL57S 403S,NJ005040,NJ0051604065,300516,804065,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B970,B Road,744.9473684,13328.71604,142.1178697,289995.9692,812249.3524,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Cairn of Claise,134,7,07A,7,1064,3491,43,OL52N OL53N 387N 388N,NO185788,NO1854978890,318549,778890,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,31760.72514,220.2294503,294300.8247,758377.3294,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Cairn Toul,146,8,08A,8,1291,4236,36 43,OL57S 403S,NN963972,NN9632897228,296328,797228,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B970,B Road,744.9473684,16239.38636,113.6936808,289802.2548,812098.5184,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Carn a' Chlamain,117,6,06A,6.1,963.5,3161,43,OL51E 394E,NN915758,NN9159175807,291591,775807,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,B8079,B Road,,10975.02707,246.6918241,287248.4391,765727.6457,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
Carn a' Choire Bhoidheach,130,7,07A,7,1109.9,3641,44,OL53N 388N,NO226845,NO2267384557,322673,784557,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,38604.66429,222.6668926,294286.7458,758393.2717,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Carn a' Gheoidh,126,6,06B,6.2,975,3199,43,OL52N 387N,NO107767,NO1070376700,310703,776700,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,24587.00434,228.0079132,294253.6066,758426.0229,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Carn a' Mhaim,151,8,08A,8,1037,3402,36 43,OL57S 403S,NN994951,NN9945795199,299457,795199,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A93,A Road,5186.125,19460.27462,119.5882918,289848.2135,812121.574,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Carn an Fhidhleir [Carn Ealar],116,6,06A,6.1,994.1,3261,43,OL51E 394E,NN904841,NN9046784179,290467,784179,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B8079,B Road,,18716.67657,259.7593452,287139.4923,765760.4856,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,4085,0.576131615
Carn an Righ,122,6,06B,6.2,1029,3376,43,OL52N 387N,NO028772,NO0287177267,302871,777267,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,19355.73509,217.1775042,287448.9844,765570.5939,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
Carn an t-Sagairt Mor,131,7,07A,7,1047,3435,44,OL53N 388N,NO208842,NO2081084280,320810,784280,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,37061.98571,224.2823782,294277.0464,758403.5019,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Carn an Tuirc,135,7,07A,7,1019,3343,43,OL52N OL53N 387N 388N,NO174804,NO1745380483,317453,780483,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,32009.79395,223.6224098,294281.0436,758399.3557,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Carn Aosda,128,6,06B,6.2,915.3,3003,43,OL52N 387N,NO133791,NO1339779164,313397,779164,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,28222.88125,227.3021504,294258.1586,758421.8743,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Carn Bhac,124,6,06B,6.2,945.1,3101,43,OL52N 387N,NO051832,NO0510483225,305104,783225,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,24962.97087,224.8459016,287405.1038,765621.0519,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
Carn Dearg,162,9,09B,9.2,945.7,3103,35,OL56 402,NH635023,NH6356802398,263568,802398,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,8463.177172,334.2476268,271190.6165,798720.8971,Newtonmore,HGL2,271640.9566,798503.6558,2019/P08,31868,200738,112875,4085,0.576131615
Carn Dearg,101,4,04B,4.2,1034,3392,42,OL50 393,NN504764,NN5041676444,250416,776444,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,14832.37655,165.7408004,236040.5886,780097.3465,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Carn Dearg,96,4,04B,4.2,941,3087,42,385W,NN417661,NN4177366143,241773,766143,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B846,B Road,921.2162162,5642.85427,177.7857899,236134.3589,766361.0153,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,4085,0.576131615
Carn Eige [Carn Eighe],209,11,11A,11.1,1182.8,3881,25,414N,NH123261,NH1235526197,212355,826197,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,23177.81749,147.1478426,192883.9384,838770.3441,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,4085,0.576131615
Carn Ghluasaid,217,11,11B,11.2,957,3140,34,414S,NH145125,NH1457612522,214576,812522,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,31511.47465,283.6936809,222035.7427,781906.2316,Spean Bridge,WHL,222154.1082,781420.444,2019/P08,31868,200738,112875,4085,0.576131615
Carn Gorm,23,2,02A,2.1,1029,3376,42 51,OL48E OL49W 378E 386W,NN635500,NN6351350078,263513,750078,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,B846,B Road,921.2162162,22148.70711,159.8473555,242720.2789,757708.7259,Rannoch,WHL,242250.8899,757880.9871,2019/P08,31868,200738,112875,131,0.576131615
Carn Liath,167,9,09C,9.3,1006,3301,34,OL55 401,NN472903,NN4722790326,247227,790326,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,14938.05418,220.8880933,235933.9877,780547.7929,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Carn Mairg,22,2,02A,2.1,1042,3419,42 51,OL48E OL49W 378E 386W,NN684512,NN6849151258,268491,751258,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,B846,B Road,921.2162162,22754.06439,37.04877756,286651.5394,764967.2033,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
Carn Mor Dearg,76,4,04A,4.1,1220,4003,41,392,NN177721,NN1774872172,217748,772172,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A82,A Road,12752.39019,6976.654959,164.3674535,211029.4139,774051.9776,Fort William,WHL,210547.9091,774186.711,2019/P08,31868,200738,112875,4085,0.576131615
Carn na Caim,112,5,05B,5,940.8,3087,42,OL51W 394W,NN677821,NN6770082153,267700,782153,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A9,A Road,9965.581518,4594.992727,147.0067969,263846.018,784655.1552,Dalwhinnie,HGL2,263426.6504,784927.425,2019/P08,31868,200738,112875,4085,0.576131615
Carn nan Gobhar,219,12,12A,12.1,992,3255,25,430,NH273438,NH2730343890,227303,843890,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A831,A Road,831.6825397,17130.91666,94.15380502,226062.1377,860975.9172,Achanalt,KYL,226025.9207,861474.6038,2019/P08,31868,200738,112875,4085,0.576131615
Carn nan Gobhar,228,12,12B,12.2,993,3258,25,430,NH181343,NH1818834362,218188,834362,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A831,A Road,831.6825397,22265.58054,141.7853362,200693.9646,848135.6996,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
Carn Sgulain,164,9,09B,9.2,920.3,3019,35,OL56 402,NH683058,NH6830205821,268302,805821,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,7543.143497,294.5275539,271433.3912,798958.5367,Newtonmore,HGL2,271640.9566,798503.6558,2019/P08,31868,200738,112875,4085,0.576131615
Chno Dearg,94,4,04B,4.2,1046,3432,41,OL50 393,NN377741,NN3774174115,237741,774115,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,5984.704965,109.6910265,235724.4668,779749.7393,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Ciste Dhubh,202,11,11A,11.1,979,3212,33,414N 414S,NH062166,NH0623716619,206237,816619,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,25814.83155,121.5603781,192725.6002,838615.5362,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,4085,0.576131615
Cona' Mheall,260,15,15A,15.1,978,3209,20,436N,NH275816,NH2751081641,227510,881641,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A835,A Road,2414.327381,19167.79615,283.7749235,232074.0133,863024.4968,Lochluichart,KYL,232193.0675,862538.8775,2019/P08,31868,200738,112875,4085,0.576131615
Conival,269,16,16E,16.5,987,3238,15,442E,NC303199,NC3033019938,230330,919938,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A837,A Road,398.8571429,31702.51829,330.2042578,257841.5209,904184.7183,Lairg,WCK,258275.4221,903936.2636,2019/P08,31868,200738,112875,4085,0.576131615
Creag a' Mhaim,175,10,10A,10.1,946,3104,33,414S,NH087077,NH0879007772,208790,807772,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,29046.63926,296.8917006,221927.9554,781866.3755,Spean Bridge,WHL,222154.1082,781420.444,2019/P08,31868,200738,112875,4085,0.576131615
Creag Leacach,133,7,07A,7,988.2,3242,43,OL52N 387N,NO154745,NO1546874548,315468,774548,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,26636.58249,217.4305472,294316.1379,758358.3039,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Creag Meagaidh,165,9,09C,9.3,1128,3701,34 42,OL55 401,NN418875,NN4184087547,241840,787547,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,9152.270864,229.3799979,235881.5125,780600.023,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Creag Mhor,43,2,02B,2.2,1047,3435,50,OL48W 378W,NN391361,NN3915136111,239151,736111,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,7767.898873,226.2807774,233782.4115,730496.8652,Tyndrum Upper,WHL,233436.849,730135.4975,2019/P08,31868,200738,112875,9093,0.576131615
Creag nan Damh,181,10,10A,10.1,918,3012,33,414S,NG983112,NG9837011201,198370,811201,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,25768.86185,116.8178138,186744.2483,834198.3072,Stromeferry,KYL,186518.6708,834644.53,2019/P08,31868,200738,112875,4085,0.576131615
Creag Pitridh,103,4,04B,4.2,924,3031,34 42,OL50 OL55 393 401,NN487814,NN4875281459,248752,781459,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,12753.99876,185.3617359,236053.8052,780267.2227,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Creise,71,3,03C,3.3,1099.8,3608,41,384,NN238506,NN2385550645,223855,750645,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,19156.11351,53.18086288,235335.0867,765980.0675,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,9093,0.576131615
Cruach Ardrain,7,1,01C,1.3,1045.9,3431,51 56,OL39N 364N,NN409212,NN4092721215,240927,721215,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A85,A Road,7041.860941,4102.027683,122.4383224,238726.7076,724676.9856,Crianlarich,WHL,238458.5119,725098.9703,2019/P08,31868,200738,112875,9093,0.576131615
Derry Cairngorm,156,8,08A,8,1155,3789,36 43,OL57S 403S,NO017980,NO0173498032,301734,798032,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A93,A Road,5186.125,18425.08987,129.8730781,289921.8759,812172.6387,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Driesh,141,7,07A,7,947,3107,44,OL53S 388S,NO271735,NO2711673588,327116,773588,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,B955,B Road,89.5,36151.42912,205.0759737,294371.9659,758266.3141,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Druim Shionnach,176,10,10A,10.1,987,3238,33,414S,NH074084,NH0744108485,207441,808485,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,29736.78257,266.1890408,205464.5521,778813.9722,Loch Eil,MLG2,205431.3197,778315.0778,2019/P08,31868,200738,112875,4085,0.576131615
Eididh nan Clach Geala,263,15,15A,15.1,927,3041,20,436N,NH257842,NH2578784215,225787,884215,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A835,A Road,2414.327381,22102.91989,286.4642899,232051.3587,863018.3758,Lochluichart,KYL,232193.0675,862538.8775,2019/P08,31868,200738,112875,4085,0.576131615
Fionn Bheinn,258,14,14B,14.2,933,3061,20,435S,NH147621,NH1474962149,214749,862149,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A832,A Road,1022.038961,3490.946137,294.3926188,216190.7157,858969.6666,Achnasheen,KYL,216397.2093,858514.2982,2019/P08,31868,200738,112875,4085,0.576131615
Gairich,187,10,10B,10.2,919,3015,33,399,NN025995,NN0258999580,202589,799580,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,20645.50264,261.5485968,199554.7202,779158.6894,Locheilside,MLG2,199481.2349,778664.119,2019/P08,31868,200738,112875,4085,0.576131615
Garbh Chioch Mhor,184,10,10B,10.2,1013,3323,33 40,398E,NM909961,NM9095596101,190955,796101,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A830,A Road,2360.52381,14687.68447,266.2468707,189993.579,781444.8155,Glenfinnan,MLG2,189960.8502,780945.8878,2019/P08,31868,200738,112875,4085,0.576131615
Geal Charn,104,4,04B,4.2,1049,3442,42,OL50 393,NN504811,NN5043281181,250432,781181,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,13023.9284,16.08254542,262946.2186,784788.914,Dalwhinnie,HGL2,263426.6504,784927.425,2019/P08,31868,200738,112875,4085,0.576131615
Geal Charn,161,9,09B,9.2,926,3038,35,OL55 401,NN561987,NN5614498768,256144,798768,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,14999.211,359.022754,271141.0293,798512.1835,Newtonmore,HGL2,271640.9566,798503.6558,2019/P08,31868,200738,112875,4085,0.576131615
Geal-charn,110,5,05A,5,917.1,3009,42,OL50 393,NN596782,NN5964478261,259644,778261,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A9,A Road,9965.581518,7164.833092,60.42863779,263179.8968,784492.5541,Dalwhinnie,HGL2,263426.6504,784927.425,2019/P08,31868,200738,112875,4085,0.576131615
Geal-Charn,100,4,04B,4.2,1132,3714,42,OL50 393,NN469746,NN4699174629,246991,774629,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,12228.87547,153.9422462,236005.1688,780000.8625,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Glas Bheinn Mhor,66,3,03C,3.3,997,3271,50,377W,NN153429,NN1532842979,215328,742979,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,B8074,B Road,59.5,15285.56418,259.4163039,212520.4753,727953.4791,Loch Awe,OBN2,212428.6395,727461.9853,2019/P08,31868,200738,112875,9093,0.576131615
Glas Maol,132,7,07A,7,1068,3504,43,OL52N 387N,NO166765,NO1669976576,316699,776576,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,28859.38842,219.1134291,294307.0419,758369.8331,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Glas Tulaichean,121,6,06B,6.2,1051,3448,43,OL52N 387N,NO051760,NO0510576011,305105,776011,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,20508.65764,210.7530716,287480.2903,765524.1203,Blair Atholl,HGL2,287050.6008,765268.4507,2019/P08,31868,200738,112875,131,0.576131615
Gleouraich,170,10,10A,10.1,1035,3396,33,414S,NH039053,NH0394505345,203945,805345,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,26551.70253,260.5022626,199563.7392,779157.2651,Locheilside,MLG2,199481.2349,778664.119,2019/P08,31868,200738,112875,4085,0.576131615
Gulvain [Gaor Bheinn],193,10,10D,10.4,987,3238,41,399,NN002875,NN0026787574,200267,787574,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A830,A Road,2360.52381,8444.462322,264.9601069,199525.1596,779162.1859,Locheilside,MLG2,199481.2349,778664.119,2019/P08,31868,200738,112875,4085,0.576131615
Ladhar Bheinn,189,10,10B,10.2,1020,3346,33,413S,NG824039,NG8240003983,182400,803983,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A851,A Road,835.3174603,15874.796,205.0158489,168014.4051,797270.0418,Mallaig,MLG2,167561.3097,797058.6073,2019/P08,31868,200738,112875,4085,0.576131615
Liathach - Mullach an Rathain,235,13,13A,13.1,1023,3356,25,433,NG911576,NG9118557691,191185,857691,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A896,A Road,667.1587302,12484.29793,314.5947378,199950.0715,848801.0497,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
Liathach - Spidean a' Choire Leith,234,13,13A,13.1,1055,3461,25,433,NG929579,NG9293557970,192935,857970,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A896,A Road,667.1587302,11540.97985,307.7164232,199995.2384,848840.5285,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
Lochnagar - Cac Carn Beag,129,7,07A,7,1156,3793,44,OL53N 388N,NO243861,NO2437286139,324372,786139,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A93,A Road,5186.125,40926.12804,222.6831895,294286.6494,758393.3763,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Luinne Bheinn,190,10,10B,10.2,939,3081,33,398E 413S,NG869007,NG8697900740,186979,800740,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,19263.58644,190.7352721,168052.5589,797151.743,Mallaig,MLG2,167561.3097,797058.6073,2019/P08,31868,200738,112875,4085,0.576131615
Lurg Mhor,227,12,12A,12.1,987,3238,25,429,NH064404,NH0648140451,206481,840451,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A890,A Road,714.9047619,9604.211065,127.706353,200606.9227,848049.4265,Achnashellach,KYL,200301.1153,848445.0044,2019/P08,31868,200738,112875,4085,0.576131615
Mam Sodhail,208,11,11A,11.1,1179.4,3869,25,414N,NH120253,NH1200725332,212007,825332,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,23372.27032,144.9501489,192873.2281,838754.4362,Attadale,KYL,192463.9018,839041.5807,2019/P08,31868,200738,112875,4085,0.576131615
Maoile Lunndaidh,223,12,12A,12.1,1004.9,3297,25,430,NH135458,NH1350645853,213506,845853,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A890,A Road,714.9047619,12487.20768,77.13704804,216285.8994,858026.8455,Achnasheen,KYL,216397.2093,858514.2982,2019/P08,31868,200738,112875,4085,0.576131615
Maol Chean-dearg,239,13,13B,13.2,933,3061,25,429,NG924499,NG9240649911,192406,849911,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A896,A Road,667.1587302,7358.882115,284.1606304,194206.2857,842775.7272,Strathcarron,KYL,194328.6063,842290.9204,2019/P08,31868,200738,112875,4085,0.576131615
Maol Chinn-dearg,178,10,10A,10.1,980.3,3216,33,414S,NH032087,NH0322108769,203221,808769,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,29836.27701,262.9187347,199542.8734,779160.3052,Locheilside,MLG2,199481.2349,778664.119,2019/P08,31868,200738,112875,4085,0.576131615
Mayar,140,7,07A,7,928,3045,44,OL53S 388S,NO240737,NO2408173749,324081,773749,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,B955,B Road,89.5,33500.89693,207.4899861,294362.6384,758285.2011,Pitlochry,HGL2,293919.0926,758054.4043,2019/P08,31868,200738,112875,131,0.576131615
Meall a' Bhuiridh,72,3,03C,3.3,1107.9,3635,41,384,NN250503,NN2506350346,225063,750346,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,18266.98137,23.6721312,241792.9609,757680.2359,Rannoch,WHL,242250.8899,757880.9871,2019/P08,31868,200738,112875,9093,0.576131615
